,Data,Hospitalizowane,województwo
270,2020-07-24,215,kujawsko-pomorskie
271,2020-07-25,215,kujawsko-pomorskie
272,2020-07-26,215,kujawsko-pomorskie
273,2020-07-27,215,kujawsko-pomorskie
274,2020-07-28,217,kujawsko-pomorskie
275,2020-07-29,219,kujawsko-pomorskie
276,2020-07-30,223,kujawsko-pomorskie
277,2020-07-31,233,kujawsko-pomorskie
278,2020-08-01,224,kujawsko-pomorskie
279,2020-08-02,224,kujawsko-pomorskie
280,2020-08-03,224,kujawsko-pomorskie
281,2020-03-09,9,lubelskie
282,2020-03-10,8,lubelskie
283,2020-03-11,14,lubelskie
284,2020-03-12,18,lubelskie
285,2020-03-13,30,lubelskie
286,2020-03-14,34,lubelskie
287,2020-03-15,35,lubelskie
288,2020-03-16,21,lubelskie
289,2020-03-17,25,lubelskie
290,2020-03-18,15,lubelskie
291,2020-03-19,19,lubelskie
292,2020-03-20,20,lubelskie
293,2020-03-21,29,lubelskie
294,2020-03-22,18,lubelskie
295,2020-03-23,15,lubelskie
296,2020-03-24,24,lubelskie
297,2020-03-25,30,lubelskie
298,2020-03-26,24,lubelskie
299,2020-03-27,33,lubelskie
300,2020-03-28,32,lubelskie
301,2020-03-29,31,lubelskie
302,2020-03-30,25,lubelskie
303,2020-03-31,39,lubelskie
304,2020-04-01,21,lubelskie
305,2020-04-03,41,lubelskie
306,2020-04-04,12,lubelskie
307,2020-04-05,23,lubelskie
308,2020-04-06,20,lubelskie
309,2020-04-07,30,lubelskie
310,2020-04-08,18,lubelskie
311,2020-04-09,18,lubelskie
312,2020-04-10,16,lubelskie
313,2020-04-11,29,lubelskie
314,2020-04-12,15,lubelskie
315,2020-04-13,15,lubelskie
316,2020-04-14,17,lubelskie
317,2020-04-15,22,lubelskie
318,2020-04-16,32,lubelskie
319,2020-04-17,20,lubelskie
320,2020-04-18,20,lubelskie
321,2020-04-19,7,lubelskie
322,2020-04-20,35,lubelskie
323,2020-04-21,20,lubelskie
324,2020-04-22,27,lubelskie
325,2020-04-23,16,lubelskie
326,2020-04-24,17,lubelskie
327,2020-04-25,9,lubelskie
328,2020-04-26,13,lubelskie
329,2020-04-27,8,lubelskie
330,2020-04-28,17,lubelskie
331,2020-04-29,11,lubelskie
332,2020-04-30,12,lubelskie
333,2020-05-01,2,lubelskie
334,2020-05-02,7,lubelskie
335,2020-05-03,11,lubelskie
336,2020-05-04,12,lubelskie
337,2020-05-05,13,lubelskie
338,2020-05-06,11,lubelskie
339,2020-05-07,8,lubelskie
340,2020-05-08,13,lubelskie
341,2020-05-09,7,lubelskie
342,2020-05-10,8,lubelskie
343,2020-05-11,17,lubelskie
344,2020-05-12,19,lubelskie
345,2020-05-13,3,lubelskie
346,2020-05-14,14,lubelskie
347,2020-05-15,14,lubelskie
348,2020-05-16,11,lubelskie
349,2020-05-17,9,lubelskie
350,2020-05-18,15,lubelskie
351,2020-05-19,7,lubelskie
352,2020-05-20,15,lubelskie
353,2020-05-21,12,lubelskie
354,2020-05-22,17,lubelskie
355,2020-05-23,14,lubelskie
356,2020-05-24,8,lubelskie
357,2020-05-25,18,lubelskie
358,2020-05-26,14,lubelskie
359,2020-05-27,10,lubelskie
360,2020-05-28,30,lubelskie
361,2020-05-29,19,lubelskie
362,2020-05-30,8,lubelskie
363,2020-05-31,7,lubelskie
364,2020-06-01,12,lubelskie
365,2020-06-02,16,lubelskie
366,2020-06-03,15,lubelskie
367,2020-06-04,14,lubelskie
368,2020-06-05,9,lubelskie
369,2020-06-06,13,lubelskie
370,2020-06-07,6,lubelskie
371,2020-06-08,13,lubelskie
372,2020-06-13,15,lubelskie
373,2020-06-16,21,lubelskie
374,2020-06-17,7,lubelskie
375,2020-06-18,12,lubelskie
376,2020-06-19,14,lubelskie
377,2020-06-20,9,lubelskie
378,2020-06-21,8,lubelskie
379,2020-06-22,8,lubelskie
380,2020-06-23,8,lubelskie
381,2020-06-24,14,lubelskie
382,2020-06-25,16,lubelskie
383,2020-06-26,7,lubelskie
384,2020-06-27,15,lubelskie
385,2020-06-28,75,lubelskie
386,2020-06-29,6,lubelskie
387,2020-06-30,6,lubelskie
388,2020-07-01,4,lubelskie
389,2020-07-02,16,lubelskie
390,2020-07-03,12,lubelskie
391,2020-07-04,14,lubelskie
392,2020-07-05,11,lubelskie
393,2020-07-06,7,lubelskie
394,2020-07-07,12,lubelskie
395,2020-07-08,16,lubelskie
396,2020-07-09,5,lubelskie
397,2020-07-10,8,lubelskie
398,2020-07-11,29,lubelskie
399,2020-07-12,13,lubelskie
400,2020-07-13,11,lubelskie
401,2020-07-14,5,lubelskie
402,2020-07-15,6,lubelskie
403,2020-07-16,15,lubelskie
404,2020-07-17,17,lubelskie
405,2020-07-18,3,lubelskie
406,2020-07-19,11,lubelskie
407,2020-07-20,8,lubelskie
408,2020-07-21,13,lubelskie
409,2020-07-22,11,lubelskie
410,2020-07-23,10,lubelskie
411,2020-07-24,12,lubelskie
412,2020-07-26,7,lubelskie
413,2020-07-28,23,lubelskie
414,2020-07-29,11,lubelskie
415,2020-07-30,25,lubelskie
416,2020-07-31,19,lubelskie
417,2020-08-01,20,lubelskie
418,2020-03-16,2,lubuskie
419,2020-03-17,10,lubuskie
420,2020-03-18,7,lubuskie
421,2020-03-19,11,lubuskie
422,2020-03-20,9,lubuskie
423,2020-03-21,15,lubuskie
424,2020-03-22,13,lubuskie
425,2020-03-23,18,lubuskie
426,2020-03-24,22,lubuskie
427,2020-03-25,25,lubuskie
428,2020-03-26,26,lubuskie
429,2020-03-27,21,lubuskie
430,2020-03-28,20,lubuskie
431,2020-03-29,21,lubuskie
432,2020-03-30,23,lubuskie
433,2020-03-31,30,lubuskie
434,2020-04-01,30,lubuskie
435,2020-04-02,32,lubuskie
436,2020-04-03,33,lubuskie
437,2020-04-04,27,lubuskie
438,2020-04-05,24,lubuskie
439,2020-04-06,29,lubuskie
440,2020-04-07,30,lubuskie
441,2020-04-08,28,lubuskie
442,2020-04-09,24,lubuskie
443,2020-04-10,29,lubuskie
444,2020-04-11,31,lubuskie
445,2020-04-12,30,lubuskie
446,2020-04-13,24,lubuskie
447,2020-04-14,30,lubuskie
448,2020-04-15,26,lubuskie
449,2020-04-16,32,lubuskie
450,2020-04-17,27,lubuskie
451,2020-04-18,22,lubuskie
452,2020-04-19,23,lubuskie
453,2020-04-20,30,lubuskie
454,2020-04-21,31,lubuskie
455,2020-04-22,35,lubuskie
456,2020-04-23,36,lubuskie
457,2020-04-24,31,lubuskie
458,2020-04-25,12,lubuskie
459,2020-04-26,30,lubuskie
460,2020-04-27,19,lubuskie
461,2020-04-28,18,lubuskie
462,2020-04-29,12,lubuskie
463,2020-04-30,6,lubuskie
464,2020-05-01,16,lubuskie
465,2020-05-02,8,lubuskie
466,2020-05-03,5,lubuskie
467,2020-05-04,6,lubuskie
468,2020-05-05,7,lubuskie
469,2020-05-06,6,lubuskie
470,2020-05-07,5,lubuskie
471,2020-05-08,14,lubuskie
472,2020-05-09,10,lubuskie
473,2020-05-10,6,lubuskie
474,2020-05-11,6,lubuskie
475,2020-05-12,7,lubuskie
476,2020-05-13,9,lubuskie
477,2020-05-14,5,lubuskie
478,2020-05-15,8,lubuskie
479,2020-05-16,7,lubuskie
480,2020-05-17,4,lubuskie
481,2020-05-18,7,lubuskie
482,2020-05-19,2,lubuskie
483,2020-05-20,4,lubuskie
484,2020-05-21,4,lubuskie
485,2020-05-22,24,lubuskie
486,2020-05-23,33,lubuskie
487,2020-05-24,30,lubuskie
488,2020-05-25,33,lubuskie
489,2020-05-26,33,lubuskie
490,2020-05-27,31,lubuskie
491,2020-05-28,26,lubuskie
492,2020-05-29,34,lubuskie
493,2020-05-30,30,lubuskie
494,2020-05-31,34,lubuskie
495,2020-06-01,28,lubuskie
496,2020-06-02,25,lubuskie
497,2020-06-03,30,lubuskie
498,2020-06-04,27,lubuskie
499,2020-06-05,11,lubuskie
500,2020-06-06,11,lubuskie
501,2020-06-07,12,lubuskie
502,2020-06-08,12,lubuskie
503,2020-06-09,10,lubuskie
504,2020-06-10,13,lubuskie
505,2020-06-11,15,lubuskie
506,2020-06-12,19,lubuskie
507,2020-06-13,17,lubuskie
508,2020-06-14,22,lubuskie
509,2020-06-15,21,lubuskie
510,2020-06-16,18,lubuskie
511,2020-06-17,15,lubuskie
512,2020-06-18,15,lubuskie
513,2020-06-19,16,lubuskie
514,2020-06-20,18,lubuskie
515,2020-06-21,20,lubuskie
516,2020-06-22,21,lubuskie
517,2020-06-23,22,lubuskie
518,2020-06-24,19,lubuskie
519,2020-06-25,17,lubuskie
520,2020-06-26,13,lubuskie
521,2020-06-27,13,lubuskie
522,2020-06-28,13,lubuskie
523,2020-06-29,16,lubuskie
524,2020-06-30,14,lubuskie
525,2020-07-01,16,lubuskie
526,2020-07-02,14,lubuskie
527,2020-07-03,14,lubuskie
528,2020-07-04,14,lubuskie
529,2020-07-05,14,lubuskie
530,2020-07-06,12,lubuskie
531,2020-07-07,12,lubuskie
532,2020-07-08,8,lubuskie
533,2020-07-09,13,lubuskie
534,2020-07-10,21,lubuskie
535,2020-07-11,24,lubuskie
536,2020-07-12,31,lubuskie
537,2020-07-13,38,lubuskie
538,2020-07-14,49,lubuskie
539,2020-07-15,52,lubuskie
540,2020-07-16,53,lubuskie
541,2020-07-17,54,lubuskie
542,2020-07-18,50,lubuskie
543,2020-07-19,60,lubuskie
544,2020-07-20,58,lubuskie
545,2020-07-21,61,lubuskie
546,2020-07-22,58,lubuskie
547,2020-07-23,63,lubuskie
548,2020-07-25,60,lubuskie
549,2020-07-26,59,lubuskie
550,2020-07-27,60,lubuskie
551,2020-07-28,59,lubuskie
552,2020-07-29,59,lubuskie
553,2020-07-30,61,lubuskie
554,2020-07-31,58,lubuskie
555,2020-08-01,62,lubuskie
556,2020-08-02,63,lubuskie
557,2020-03-12,43,łódzkie
558,2020-03-13,28,łódzkie
559,2020-03-14,57,łódzkie
560,2020-03-16,57,łódzkie
561,2020-03-17,32,łódzkie
562,2020-03-19,28,łódzkie
563,2020-03-20,15,łódzkie
564,2020-03-21,14,łódzkie
565,2020-03-22,23,łódzkie
566,2020-03-23,27,łódzkie
567,2020-03-24,51,łódzkie
568,2020-03-26,23,łódzkie
569,2020-03-27,34,łódzkie
570,2020-03-28,45,łódzkie
571,2020-03-29,40,łódzkie
